num	Result
20	13687488
40	15427542
60	16043715
80	16353881
100	16527819
120	16669169
140	16782335
160	16825548
180	16830304
200	16839031
220	16864041
240	16920825
260	17013991
280	17053411
300	17080518
320	17083055
340	17083380
360	17083380
380	17083380
400	17083380
420	17083380
440	17083380
460	17083380
480	17083380
